batting_team,bowling_team,venue,current_score,is_powerplay,balls_left,wickets_left,current_run_rate,Top_Order,Middle_Order,Lower_Order,Tail,last_five,Death_Overs,final_score
South Africa,India,Johannesburg,171,0,15,7,9.77142857142857,0,1,0,0,61,1,219
India,South Africa,Cape Town,66,0,71,9,8.08163265306122,1,0,0,0,35,0,172
West Indies,Sri Lanka,Pallekele,120,0,9,6,6.48648648648649,0,0,1,0,47,1,129
Australia,England,Melbourne,118,0,18,5,6.94117647058824,0,0,1,0,38,1,147
South Africa,Sri Lanka,Johannesburg,69,0,56,5,6.46875,0,0,1,0,29,0,113
Pakistan,South Africa,Dubai,82,0,13,3,4.5981308411215,0,0,0,1,23,1,98
New Zealand,Sri Lanka,Lauderhill,16,1,86,5,2.82352941176471,0,0,1,0,14,0,81
England,South Africa,Johannesburg,159,0,24,7,9.9375,0,1,0,0,62,1,202
West Indies,England,London,149,0,30,6,9.93333333333333,0,0,1,0,51,0,208
Sri Lanka,Australia,Colombo,64,0,59,6,6.29508196721311,0,0,1,0,21,0,128
Pakistan,West Indies,Karachi,166,0,9,5,8.97297297297297,0,0,1,0,42,1,203
Pakistan,Australia,Birmingham,86,0,54,6,7.81818181818182,0,0,1,0,43,0,167
India,England,Nagpur,54,0,78,9,7.71428571428571,1,0,0,0,44,0,144
Australia,England,Barbados,142,0,4,4,7.3448275862069,0,0,0,1,51,1,147
England,Pakistan,Bristol,103,0,28,5,6.71739130434783,0,0,1,0,39,1,144
Pakistan,Bangladesh,Mirpur,48,0,46,6,3.89189189189189,0,0,1,0,22,0,129
South Africa,Pakistan,Cape Town,79,0,66,9,8.77777777777778,1,0,0,0,52,0,192
Sri Lanka,India,Mumbai,85,0,43,5,6.62337662337662,0,0,1,0,32,0,135
Pakistan,Sri Lanka,Colombo,38,1,88,9,7.125,1,0,0,0,34,0,175
New Zealand,India,Hamilton,77,0,80,10,11.55,1,0,0,0,59,0,212
England,Australia,Birmingham,132,0,50,7,11.3142857142857,0,1,0,0,49,0,221
Australia,India,Barbados,143,0,35,8,10.0941176470588,0,1,0,0,61,0,184
Sri Lanka,India,Colombo,114,0,45,6,9.12,0,0,1,0,45,0,152
New Zealand,South Africa,Centurion,104,0,49,7,8.7887323943662,0,1,0,0,38,0,177
India,Sri Lanka,Pune,114,0,47,8,9.36986301369863,0,1,0,0,42,0,201
Sri Lanka,Australia,Cape Town,87,0,17,2,5.06796116504854,0,0,0,1,25,1,101
Pakistan,South Africa,Abu Dhabi,54,0,57,5,5.14285714285714,0,0,1,0,24,0,120
Sri Lanka,South Africa,Delhi,94,0,33,4,6.48275862068966,0,0,0,1,18,0,120
New Zealand,Sri Lanka,Colombo,93,0,38,7,6.80487804878049,0,1,0,0,40,0,141
South Africa,England,Cape Town,40,1,86,9,7.05882352941176,1,0,0,0,37,0,191
New Zealand,Sri Lanka,Auckland,161,0,7,3,8.54867256637168,0,0,0,1,61,1,179
New Zealand,Bangladesh,Mount Maunganui,48,0,69,7,5.64705882352941,0,1,0,0,28,0,194
South Africa,Australia,Johannesburg,103,0,53,7,9.22388059701493,0,1,0,0,41,0,204
New Zealand,South Africa,Centurion,151,0,14,5,8.54716981132076,0,0,1,0,38,1,177
South Africa,England,Mumbai,178,0,22,6,10.8979591836735,0,0,1,0,45,1,229
Sri Lanka,Australia,Colombo,121,0,6,2,6.36842105263158,0,0,0,1,35,1,128
Pakistan,Bangladesh,Mirpur,25,0,78,7,3.57142857142857,0,1,0,0,17,0,129
West Indies,England,London,94,0,50,8,8.05714285714286,0,1,0,0,42,0,169
Pakistan,New Zealand,Pallekele,124,0,36,8,8.85714285714286,0,1,0,0,38,0,177
Bangladesh,Sri Lanka,Colombo,82,0,55,6,7.56923076923077,0,0,1,0,25,0,155
New Zealand,England,St Lucia,149,0,0,4,7.45,0,0,0,1,36,1,149
New Zealand,Australia,Auckland,83,0,73,10,10.5957446808511,1,0,0,0,52,0,243
England,India,Bristol,95,0,70,9,11.4,1,0,0,0,62,0,198
Australia,New Zealand,Perth,181,0,4,6,9.36206896551724,0,0,1,0,62,1,186
Bangladesh,Australia,Bangalore,62,0,64,7,6.64285714285714,0,1,0,0,41,0,156
New Zealand,England,London,159,0,28,8,10.3695652173913,0,1,0,0,48,1,201
Australia,England,Hobart,140,0,39,8,10.3703703703704,0,1,0,0,51,0,213
South Africa,Sri Lanka,Hambantota,119,0,24,8,7.4375,0,1,0,0,39,1,163
Sri Lanka,South Africa,Cape Town,67,0,56,7,6.28125,0,1,0,0,25,0,134
South Africa,England,Mumbai,133,0,50,8,11.4,0,1,0,0,44,0,229
New Zealand,India,Auckland,189,0,8,5,10.125,0,0,1,0,59,1,203
Australia,India,Sydney,129,0,18,5,7.58823529411765,0,0,1,0,41,1,164
South Africa,Australia,Sydney,140,0,5,4,7.30434782608696,0,0,0,1,28,1,145
Bangladesh,West Indies,Lauderhill,102,0,53,6,9.13432835820896,0,0,1,0,30,0,184
India,England,Kolkata,34,0,82,7,5.36842105263158,0,1,0,0,29,0,120
Pakistan,India,Mirpur,102,0,20,6,6.12,0,0,1,0,27,1,130
New Zealand,Sri Lanka,Wellington,143,0,18,5,8.41176470588235,0,0,1,0,34,1,162
South Africa,England,Cape Town,159,0,8,7,8.51785714285714,0,1,0,0,62,1,191
New Zealand,England,Christchurch,107,0,28,6,6.97826086956522,0,0,1,0,34,1,153
South Africa,Sri Lanka,Colombo,69,0,59,5,6.78688524590164,0,0,1,0,27,0,98
England,Australia,Southampton,58,0,80,9,8.7,1,0,0,0,40,0,162
England,Australia,Cape Town,75,0,53,6,6.71641791044776,0,0,1,0,38,0,135
Australia,Pakistan,Johannesburg,99,0,48,6,8.25,0,0,1,0,28,0,164
Sri Lanka,Bangladesh,Colombo,110,0,56,9,10.3125,1,0,0,0,44,0,214
Australia,West Indies,Mirpur,148,0,17,5,8.62135922330097,0,0,1,0,42,1,178
Australia,West Indies,Mirpur,171,0,2,3,8.69491525423729,0,0,0,1,43,1,178
Afghanistan,West Indies,Lucknow,141,0,4,4,7.29310344827586,0,0,0,1,44,1,147
India,Bangladesh,Mirpur,91,0,35,7,6.42352941176471,0,1,0,0,43,0,166
South Africa,Bangladesh,Mirpur,41,1,88,10,7.6875,1,0,0,0,36,0,169
Bangladesh,India,Mirpur,48,0,77,8,6.69767441860465,0,1,0,0,36,0,120
South Africa,Sri Lanka,Hambantota,87,0,41,6,6.60759493670886,0,0,1,0,39,0,145
Afghanistan,India,St Lucia,34,0,73,7,4.34042553191489,0,1,0,0,16,0,115
England,Australia,Cardiff,37,0,78,8,5.28571428571429,0,1,0,0,26,0,182
England,West Indies,Barbados,123,0,27,8,7.93548387096774,0,1,0,0,25,1,165
Australia,England,Adelaide,81,0,70,10,9.72,1,0,0,0,61,0,157
India,England,Cardiff,77,0,49,7,6.50704225352113,0,1,0,0,45,0,148
South Africa,New Zealand,Wellington,74,0,40,6,5.55,0,0,1,0,23,0,147
New Zealand,Sri Lanka,Mount Maunganui,152,0,16,7,8.76923076923077,0,1,0,0,45,1,182
Australia,Sri Lanka,Melbourne,88,0,49,8,7.43661971830986,0,1,0,0,37,0,168
Sri Lanka,Australia,Pallekele,92,0,50,8,7.88571428571429,0,1,0,0,41,0,198
Australia,South Africa,Brisbane,64,0,71,9,7.83673469387755,1,0,0,0,34,0,209
Australia,Pakistan,Dubai,60,0,41,5,4.55696202531646,0,0,1,0,15,0,89
West Indies,Australia,Brisbane,172,0,8,5,9.21428571428571,0,0,1,0,56,1,191
Sri Lanka,India,Chandigarh,169,0,19,3,10.039603960396,0,0,0,1,36,1,206
New Zealand,Sri Lanka,Pallekele,55,0,66,7,6.11111111111111,0,1,0,0,34,0,142
England,Pakistan,Abu Dhabi,65,0,54,7,5.90909090909091,0,1,0,0,26,0,129
New Zealand,England,Wellington,50,1,84,9,8.33333333333333,1,0,0,0,42,0,196
West Indies,England,London,147,0,17,5,8.56310679611651,0,0,1,0,41,1,169
New Zealand,England,St Lucia,41,0,81,9,6.30769230769231,1,0,0,0,33,0,149
Sri Lanka,England,London,122,0,31,6,8.2247191011236,0,0,1,0,44,0,183
New Zealand,Sri Lanka,Wellington,107,0,51,8,9.30434782608696,0,1,0,0,27,0,162
South Africa,West Indies,Johannesburg,126,0,56,7,11.8125,0,1,0,0,65,0,231
West Indies,England,London,140,0,28,6,9.1304347826087,0,0,1,0,55,1,169
South Africa,Australia,Colombo,74,0,47,6,6.08219178082192,0,0,1,0,31,0,146
Pakistan,New Zealand,Pallekele,144,0,20,6,8.64,0,0,1,0,34,1,177
Sri Lanka,India,Colombo,151,0,7,1,8.01769911504425,0,0,0,1,31,1,152
South Africa,Australia,Sydney,75,0,69,10,8.82352941176471,1,0,0,0,53,0,145
South Africa,England,Chittagong,53,0,83,10,8.5945945945946,1,0,0,0,41,0,196
England,South Africa,Birmingham,63,0,72,8,7.875,0,1,0,0,34,0,118
Sri Lanka,West Indies,Nottingham,106,0,58,10,10.258064516129,1,0,0,0,49,0,192
Sri Lanka,West Indies,Nottingham,172,0,15,7,9.82857142857143,0,1,0,0,47,1,192
India,West Indies,Lucknow,195,0,0,8,9.75,0,1,0,0,62,1,195
England,Pakistan,Dubai,132,0,13,5,7.4018691588785,0,0,1,0,33,1,150
Pakistan,Bangladesh,Mirpur,55,0,41,6,4.17721518987342,0,0,1,0,27,0,129
Bangladesh,Australia,Bangalore,92,0,41,6,6.9873417721519,0,0,1,0,42,0,156
New Zealand,Bangladesh,Kolkata,137,0,4,4,7.08620689655172,0,0,0,1,40,1,145
England,India,Birmingham,56,0,75,8,7.46666666666667,0,1,0,0,30,0,180
New Zealand,South Africa,Centurion,115,0,38,6,8.41463414634146,0,0,1,0,36,0,177
Sri Lanka,Bangladesh,Pallekele,86,0,60,7,8.6,0,1,0,0,34,0,198
Bangladesh,Sri Lanka,Mirpur,138,0,8,5,7.39285714285714,0,0,1,0,48,1,147
England,South Africa,Barbados,114,0,38,7,8.34146341463415,0,1,0,0,39,0,168
Pakistan,Australia,Dubai,106,0,27,8,6.83870967741936,0,1,0,0,33,1,147
Sri Lanka,West Indies,Bangalore,91,0,23,5,5.62886597938144,0,0,1,0,31,1,122
Sri Lanka,Pakistan,London,32,1,89,7,6.19354838709677,0,1,0,0,32,0,138
England,South Africa,Nottingham,88,0,30,3,5.86666666666667,0,0,0,1,40,0,111
Sri Lanka,Australia,Brisbane,40,0,79,8,5.85365853658537,0,1,0,0,34,0,117
India,Sri Lanka,Pune,71,0,44,3,5.60526315789474,0,0,0,1,24,0,101
West Indies,Afghanistan,Lucknow,66,0,77,9,9.2093023255814,1,0,0,0,60,0,164
Australia,England,Adelaide,144,0,6,6,7.57894736842105,0,0,1,0,39,1,157
South Africa,West Indies,Johannesburg,211,0,15,6,12.0571428571429,0,0,1,0,66,1,231
Australia,Sri Lanka,Adelaide,138,0,45,9,11.04,1,0,0,0,71,0,233
India,Sri Lanka,Colombo,80,0,59,8,7.86885245901639,0,1,0,0,44,0,174
Bangladesh,South Africa,Cape Town,78,0,71,5,9.55102040816327,0,0,1,0,35,0,144
Pakistan,India,Mirpur,102,0,19,6,6.05940594059406,0,0,1,0,26,1,130
India,West Indies,Lucknow,89,0,54,10,8.09090909090909,1,0,0,0,39,0,195
South Africa,England,Chittagong,60,0,78,10,8.57142857142857,1,0,0,0,42,0,196
West Indies,Bangladesh,Johannesburg,24,1,91,9,4.96551724137931,1,0,0,0,24,0,164
South Africa,Pakistan,Cape Town,186,0,5,5,9.70434782608696,0,0,1,0,37,1,192
Australia,England,Southampton,51,1,87,9,9.27272727272727,1,0,0,0,48,0,248
Pakistan,South Africa,Dubai,42,0,59,5,4.13114754098361,0,0,1,0,27,0,98
West Indies,England,London,112,0,14,3,6.33962264150943,0,0,0,1,27,1,125
England,Australia,Cardiff,37,0,77,8,5.16279069767442,0,1,0,0,26,0,182
West Indies,New Zealand,Lauderhill,67,0,60,9,6.7,1,0,0,0,33,0,209
West Indies,New Zealand,Auckland,111,0,7,4,5.89380530973451,0,0,0,1,32,1,126
New Zealand,England,Wellington,169,0,3,3,8.66666666666667,0,0,0,1,46,1,176
